Cod;Descr
0800247;Licença Qlik
0800089;Conservação e reparos em geral
0800230;Móveis e Utensílios
0800282;Licença Software - KODAK PRO
0800058;Seguro da Sede
1600206;licença abertura de chamados
1200356;Equipamentos de Wi-FI
0800153;Compra semanal de frutas para colaboradores
0700085;Frete Farmácia Assistencial
1000111;Contrato Federativo (Docusign)
1600082;Recrutamento e selecao
1000086;Assinador digital
0800101;Taxi
0800220;Curso/treinamento de atualização
0800003;Mesa Regulável
0800096;Kits de manutenção dos scanners (3 unidades)
0800098;Frete de coleta de material nas singulares
0800228;Reforma de Adequação
0800208;Manutenção sistema  SIEG
0800053;Paradigma - Manutenção software Unicompras
0800258;Manutenção Corretiva - Auditório
0800070;Manutenção software Eventos - Tree Tools
0800194;Dedetização e limpeza de caixa d'agua mensal anexo II
0800283;Adequações sistema de energia solar
0900106;Descarte especializado
0800042;Nobreak
0800107;Uniformes (Limpeza, Recepção, Manutenção)
0800224;Caixa de som com microfone Espaço amizade
0800056;Água (sanepar)
0800093;Aniversário da Federação
3010501;Anuidade
0700316;aplicativo singoo talk
1200162;Armazenamento em Nuvem
1000086;Assinador digital
0500072;Assinatura Uptodate
0200032;Auxílio creche
0800276;Biometria facial
0400004;Cadeira
0503027;Café com o Diretor
0800125;Caixinha de remédios
0800289;Calendário de eventos
0800045;Cartório - autenticação e reconhecimento de firma
0600084;Celular
0800092;Cestas Natalinas
1600234;Chatgp
0400063;Comitês
0800153;Compra semanal de frutas para colaboradores
0800033;Confraternização setorial
0800089;Conservação e reparos em geral
0800052;Contrato de locação de impressoras
0800196;CONTRATO DE TERCERIZAÇÃO LIMPEZA
0800059;Correio
1200216;CUSTEIO - Office 365
1000011;Data Solution
0800071;Dedetização e limpeza de caixa d' agua
0200033;Dental Uni
0200026;Depreciação/ Amortização
0800284;Descarte lixo químico
1200113;Despesas com empresa de RH nos processos de substituição de pessoal
0800051;Despesas com Motoboy
0600160;Despesas com viagens
0800241;Dia da Secretária
0800095;Dia do medico
0800057;Energia Elétrica (copel)
0700318;Equipamentos para programas
1400044;Estruturação de estúdio
0800236;Evento secretariado
1600096;Eventos Unimed Brasil
0303023;Ferramenta de Gestão (Due Diligence)
0800090;Fim de ano colaboradores
0700339;Frete
0800005;Gaveteiro
0200035;Gratificação Funcionários (tempo de casa)
0800122;IPTU (Todos os imóveis)
0800050;Iron Mountain
0800091;Jantar de Fim de ano Dirigentes
0800109;Lavanderia
1600206;licença abertura de chamados
0800286;Licença Edupulses
0800247;Licença Qlik
0800282;Licença Software - KODAK PRO
0800287;Licença Zoom
0800063;Limpeza de vidros baixos externa
0800260;Limpeza fachada sede
0303011;Livros/Doutrinas/Normas
0800285;Manutenção
0800097;Manutenção (limpeza dos scanners)
0800062;Manutenção ar-condicionado
0800136;Manutenção Auditório
0800069;Manutenção central telefonica
0800064;Manutenção do elevador
0800262;Manutenção em bombas do sistema de Incêndio
0800263;Manutenção em bombas do sistema de recalque água potável e drenagem
0800191;Manutenção Ged - Suporte
0800065;Manutenção gerador
0800066;Manutenção jardim
0800068;Manutenção predial
0730048;Manutencao preventiva
0800099;Manutenção software de controle Patrimonial - Sis-Rech
0800102;Maquinas de Café-  Insumos
0800108;Material de copa / limpeza
0800110;Material de expediente
0500125;Material envio medicamentos
1000104;Melhorias TI
1600216;Mentoria
0800214;Monitor
0800230;Móveis e Utensílios
0800002;Notebook
0800138;Presente colaboradores (tempo de casa)
0800100;Prestação de serviço de vigilância, monitoramento/alarme
0200031;Previdência
0800221;Publicação de edital de convocação
0503056;Reembolso Pós
0800039;Registro de Ata
0200036;Salários e Encargos
0800022;Scanner
0800058;Seguro da Sede
0200034;Seguro viagem
1200004;Servidor
0800288;Sistema Gestão de Contratos
0800234;Software Unicompras
0800060;Telefone
1600177;Treinamento Equipe
0800216;TV'S
0800185;Uber
0600068;Uniformes
0800105;Unimed Central RS (licença GED)
0200038;Unimed Foz
1000105;Univision
0200028;Vale Alimentação
0200029;Vale Refeição
0200030;Vale transporte
0400070;Viagem de Apoio as singulares
0600103;Viagens PDM (Programa de Desenvolvimento Mercadológico)
0303008;Workshop